encoder,learner,scenario,metric,mean,sd,ci95,n
LSTM,MAPPO,S3,dwell,8.860297249462628,0.9193224875753561,"[8.202653559161465, 9.51794093976379]",10
LSTM,MAPPO,S3,depth,6.89954873765506,0.7434300238138845,"[6.367730936013862, 7.431366539296258]",10
LSTM,MAPPO,S3,protected,0.4159207466402268,0.08335528220448005,"[0.3562919698661184, 0.47554952341433526]",10
NoHistory,IPPO,S3,dwell,4.10962520817593,0.984653290548833,"[3.405246676795083, 4.814003739556777]",10
NoHistory,IPPO,S3,depth,3.4734311878650446,0.8095703683265635,"[2.8942994340134227, 4.052562941716666]",10
NoHistory,IPPO,S3,protected,0.18374026338478427,0.07036820979521324,"[0.1334018785469859, 0.23407864822258265]",10
NoHistory,MAPPO,S3,dwell,4.854342295854471,1.528146877711063,"[3.761171873546353, 5.947512718162589]",10
NoHistory,MAPPO,S3,depth,4.067293223687952,1.2685786699491954,"[3.1598067113727146, 4.974779736003189]",10
NoHistory,MAPPO,S3,protected,0.2103076699236662,0.13874371248236167,"[0.11105639703940048, 0.30955894280793195]",10
Transformer,IPPO,S4,dwell,6.792198286643367,0.8964944432908466,"[6.150884795470933, 7.4335117778158]",10
Transformer,IPPO,S4,depth,5.008053837753266,0.4838494360041037,"[4.661928802257719, 5.354178873248813]",10
Transformer,IPPO,S4,protected,0.40984960501536005,0.07916404772941556,"[0.3532190567675313, 0.4664801532631888]",10
GRU,IPPO,S4,dwell,6.868708823012213,0.7165613624135514,"[6.3561117038579305, 7.381305942166495]",10
GRU,IPPO,S4,depth,5.046759765511191,0.5082110011568315,"[4.683207516143386, 5.410312014878996]",10
GRU,IPPO,S4,protected,0.43208033822937164,0.06842835858032448,"[0.38312963935469957, 0.4810310371040437]",10
LSTM,IPPO,S4,dwell,6.719861180034269,0.4724561102245249,"[6.3818864388171175, 7.057835921251421]",10
LSTM,IPPO,S4,depth,4.965803173717665,0.3475661046548038,"[4.717169360471528, 5.214436986963802]",10
LSTM,IPPO,S4,protected,0.41036942444994784,0.0578699505684049,"[0.3689717556626584, 0.4517670932372373]",10
Transformer,MAPPO,S4,dwell,6.799988923324539,0.9357096918589263,"[6.130622533269574, 7.469355313379505]",10
Transformer,MAPPO,S4,depth,5.024363070122564,0.5355797467620447,"[4.641232399578316, 5.407493740666812]",10
Transformer,MAPPO,S4,protected,0.3969717142947802,0.09197638187364698,"[0.33117577433527173, 0.4627676542542886]",10
